Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Tenuta di Arceno Strada al Sasso Chianti Classico Gran Selezione 2018,Italy,Sangiovese,Red Wine,0.0,0, 2018,71.99
Saracco Moscato d'Asti 2021,Italy,Muscat,White Wine,4.1,54, 2021,17.99
SYLTBAR Mr. Prosecco,Italy,Non Vintage Sparkling Wine,Sparkling & Champagne,4.3,82,Not available,19.99
Antinori Pian delle Vigne Brunello di Montalcino 2016,Italy,Sangiovese,Red Wine,0.0,0, 2016,70.99
Viticcio Bolgheri 2015,Italy,Bordeaux Red Blends,Red Wine,4.0,30, 2015,30.99
Tenuta degli Dei Le Redini 2019,Italy,Other Red Blends,Red Wine,0.0,0, 2019,31.99
Tolaini Al Passo Toscana 2018,Italy,Tuscan Blends,Red Wine,3.9,50, 2018,22.99
La Fiera Montepulciano d'Abruzzo 2020,Italy,Montepulciano,Red Wine,nan,8, 2020,9.99
Felsina Chianti Classico Riserva Rancia 2018,Italy,Sangiovese,Red Wine,4.3,5, 2018,56.99
Siro Pacenti Brunello di Montalcino Riserva (1.5 Liter Magnum) 2015,Italy,Sangiovese,Red Wine,0.0,0, 2015,619.99
Renato Ratti Marcenasco Barolo 2018,Italy,Nebbiolo,Red Wine,4.4,14, 2018,64.99
Vietti Barolo Castiglione 2018,Italy,Nebbiolo,Red Wine,4.6,5, 2018,64.99
Poliziano Rosso di Montepulciano 2020,Italy,Sangiovese,Red Wine,4.7,6, 2020,17.99
Tornatore Etna Bianco 2021,Italy,Carricante,White Wine,4.2,20, 2021,25.99
Zaccagnini Il Vino Dal Tralcetto Montepulciano d'Abruzzo 2019,Italy,Montepulciano,Red Wine,4.0,81, 2019,17.99
Fontanafredda Serralunga d'Alba Barolo 2017,Italy,Nebbiolo,Red Wine,0.0,0, 2017,55.99
Umani Ronchi Terre di Chieti Vellodoro Pecorino 2020,Italy,Other White Wine,White Wine,3.8,61, 2020,16.99
Lini 910 Labrusca Lambrusco Rosso,Italy,Red Sparkling Wine,Sparkling & Champagne,3.9,223,Not available,17.99
Viticcio Morellino di Scansano 2017,Italy,Sangiovese,Red Wine,4.4,22, 2017,18.99
Masi Costasera Amarone Classico 2017,Italy,Other Red Blends,Red Wine,0.0,0, 2017,59.99
